["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission",8.57261e-13)
(52, 3)
1.9156067603833869e+14 1.2740474324367294e-03 2.2868095332378595e+00
1.9165010679279169e+14 1.2996119965168521e-03 1.7998915219377876e+00
1.9173953754724469e+14 1.3193264412216465e-03 1.3354468668658341e+00
1.9182896830169769e+14 1.3249975648487239e-03 8.9017914336979631e-01
1.9191839905615072e+14 1.3111126147898656e-03 4.6041618975429344e-01
1.9200782981060372e+14 1.2745856130736595e-03 4.2729633680867338e-02
1.9209726056505672e+14 1.2144014320458333e-03 -3.6591670176926538e-01
1.9218669131950972e+14 1.1312724090375538e-03 -7.6825651607972312e-01
1.9227612207396272e+14 1.0273349021507005e-03 -1.1669454207617862e+00
1.9236555282841572e+14 9.0588587671382918e-04 -1.5649303325210289e+00
1.9245498358286875e+14 7.7116081222313067e-04 -1.9661094208098646e+00
1.9254441433732175e+14 6.2817585707949529e-04 -2.3767236362939381e+00
1.9263384509177475e+14 4.8272624463593689e-04 -2.8088442847719035e+00
1.9272327584622775e+14 3.4190430784860270e-04 -3.2908478140691266e+00
1.9281270660068075e+14 2.1687715613998370e-04 -3.9047058014387455e+00
1.9290213735513375e+14 1.3622556992079159e-04 -4.8785053210344982e+00
1.9299156810958678e+14 1.4876323230616248e-04 -6.0715570351924306e+00
1.9308099886403978e+14 2.1391284229433922e-04 -6.8334776840868230e+00
1.9317042961849278e+14 2.7720533345454342e-04 -7.3526273395869692e+00
1.9325986037294578e+14 3.2279142893890599e-04 -7.7793131170204113e+00
1.9334929112739878e+14 3.4598667468975416e-04 -8.1600527623505492e+00
1.9343872188185178e+14 3.4561388533316413e-04 -8.5086976911388295e+00
1.9352815263630481e+14 3.2254658246578540e-04 -8.8247920928228254e+00
1.9361758339075781e+14 2.7972762150376714e-04 -9.0942503270161374e+00
1.9370701414521081e+14 2.2353048027677324e-04 -9.2764560509988954e+00
1.9373235434948506e+14 2.0686920553814378e-04 -9.3003758992209438e+00
1.9377110469538956e+14 1.8278323160298568e-04 -9.3003758992209438e+00
1.9379644489966381e+14 1.6918504152949377e-04 -9.2707122656179166e+00
1.9388587565411681e+14 1.5297483897573248e-04 -8.9888703036957622e+00
1.9397530640856981e+14 2.0363735720817003e-04 -8.7760942362637397e+00
1.9406473716302284e+14 2.9418057594969826e-04 -8.8383940664159546e+00
1.9415416791747584e+14 3.9749598635587050e-04 -9.0491041214833992e+00
1.9424359867192884e+14 5.0070713129188066e-04 -9.3279626348086371e+00
1.9433302942638184e+14 5.9628453925509521e-04 -9.6425676444828046e+00
1.9442246018083484e+14 6.7877604164442269e-04 -9.9793260869111524e+00
1.9451189093528784e+14 7.4397521956497885e-04 -1.0332371842830547e+01
1.9460132168974088e+14 7.8877832069242624e-04 -1.0699591661690187e+01
1.9469075244419388e+14 8.1126941826237752e-04 -1.1081179532410406e+01
1.9478018319864688e+14 8.1092185528078634e-04 -1.1479241634662063e+01
1.9486961395309988e+14 7.8891995868863554e-04 -1.1897969993720903e+01
1.9495904470755288e+14 7.4867378101497496e-04 -1.2344187270050792e+01
1.9504847546200588e+14 6.9665010842163077e-04 -1.2827888843855964e+01
1.9513790621645891e+14 6.4355503601501017e-04 -1.3361324084693500e+01
1.9522733697091191e+14 6.0515848598917475e-04 -1.3952591668915479e+01
1.9531676772536491e+14 5.9996244933471744e-04 -1.4590282016389665e+01
1.9540619847981791e+14 6.4071583926870838e-04 -1.5234610726149832e+01
1.9549562923427091e+14 7.2619573078444653e-04 -1.5842357667482565e+01
1.9558505998872391e+14 8.4411583946325476e-04 -1.6396994613341672e+01
1.9567449074317694e+14 9.7970664994357672e-04 -1.6904750614569728e+01
1.9576392149762994e+14 1.1202672682349552e-03 -1.7378399272890015e+01
1.9585335225208294e+14 1.2558169296709610e-03 -1.7829301699468957e+01
1.9594278300653594e+14 1.3786315985782824e-03 -1.8265955033011814e+01
("port 1","mode 1",1,"port 2",1,"transmission",3.8020099975764412e-13)
(52, 3)
1.9156067603833869e+14 6.2892412742400983e-01 2.4300935584734700e+00
1.9165010679279169e+14 6.3129059036596336e-01 2.4307343468180678e+00
1.9173953754724469e+14 6.3364147685504879e-01 2.4313503411758530e+00
1.9182896830169769e+14 6.3597692384561733e-01 2.4319412252307018e+00
1.9191839905615072e+14 6.3829708709202915e-01 2.4325067247818000e+00
1.9200782981060372e+14 6.4060213283049416e-01 2.4330466145137248e+00
1.9209726056505672e+14 6.4289222828344728e-01 2.4335607199562861e+00
1.9218669131950972e+14 6.4516753204965571e-01 2.4340489144065538e+00
1.9227612207396272e+14 6.4742818545842906e-01 2.4345111111579736e+00
1.9236555282841572e+14 6.4967430585990016e-01 2.4349472519007684e+00
1.9245498358286875e+14 6.5190598260666766e-01 2.4353572925875855e+00
1.9254441433732175e+14 6.5412327618030142e-01 2.4357411883368743e+00
1.9263384509177475e+14 6.5632622056241963e-01 2.4360988790436502e+00
1.9272327584622775e+14 6.5851482858460486e-01 2.4364302772855835e+00
1.9281270660068075e+14 6.6068909965548639e-01 2.4367352598459089e+00
1.9290213735513375e+14 6.6284902899458920e-01 2.4370136637652031e+00
1.9299156810958678e+14 6.6499461733175746e-01 2.4372652873225196e+00
1.9308099886403978e+14 6.6712587997738615e-01 2.4374898957963866e+00
1.9317042961849278e+14 6.6924285423865204e-01 2.4376872313190581e+00
1.9325986037294578e+14 6.7134560434250723e-01 2.4378570256897363e+00
1.9334929112739878e+14 6.7343422330677705e-01 2.4379990146823176e+00
1.9343872188185178e+14 6.7550883154469910e-01 2.4381129522310450e+00
1.9352815263630481e+14 6.7756957235614634e-01 2.4381986228971728e+00
1.9361758339075781e+14 6.7961660481013941e-01 2.4382558512262489e+00
1.9370701414521081e+14 6.8165009481724859e-01 2.4382845069589592e+00
1.9373235434948506e+14 6.8222384473105435e-01 2.4382874187437715e+00
1.9377110469538956e+14 6.8309915642129182e-01 2.4382874187437720e+00
1.9379644489966381e+14 6.8367020539448298e-01 2.4382845055324029e+00
1.9388587565411681e+14 6.8567708721637077e-01 2.4382558038379076e+00
1.9397530640856981e+14 6.8767087051358877e-01 2.4381983917355501e+00
1.9406473716302284e+14 6.8965165922850769e-01 2.4381122802929891e+00
1.9415416791747584e+14 6.9161952808321503e-01 2.4379974880810167e+00
1.9424359867192884e+14 6.9357452288754851e-01 2.4378540270650704e+00
1.9433302942638184e+14 6.9551666405065216e-01 2.4376818896675219e+00
1.9442246018083484e+14 6.9744595289945055e-01 2.4374810384331371e+00
1.9451189093528784e+14 6.9936238009288454e-01 2.4372513994319074e+00
1.9460132168974088e+14 7.0126593518593261e-01 2.4369928601041662e+00
1.9469075244419388e+14 7.0315661626993309e-01 2.4367052717536311e+00
1.9478018319864688e+14 7.0503443860911996e-01 2.4363884563700200e+00
1.9486961395309988e+14 7.0689944130808158e-01 2.4360422169811344e+00
