["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission",1.85641e-14)
(52, 3)
1.9156067603833869e+14 5.4864910373228395e-04 -2.1827923104583942e+00
1.9165010679279169e+14 4.8367726609529549e-04 -2.1582154974169940e+00
1.9173953754724469e+14 4.2008106184966281e-04 -2.1309183525794273e+00
1.9182896830169769e+14 3.5804089304625371e-04 -2.0996362008348002e+00
1.9191839905615072e+14 2.9775116195092388e-04 -2.0621772452266534e+00
1.9200782981060372e+14 2.3944069025361704e-04 -2.0144175768374595e+00
1.9209726056505672e+14 1.8342781087357310e-04 -1.9476637735977254e+00
1.9218669131950972e+14 1.3030000959864197e-04 -1.8403193491735754e+00
1.9227612207396272e+14 8.1698184646690654e-05 -1.6239149848954531e+00
1.9236555282841572e+14 4.5334251410669759e-05 -1.0234018281323900e+00
1.9245498358286875e+14 4.9224912038301891e-05 5.7588213271796168e-02
1.9254441433732175e+14 8.4106050228018885e-05 5.3476665488130204e-01
1.9263384509177475e+14 1.2371032381154691e-04 7.1605795141825446e-01
1.9272327584622775e+14 1.6254604378958053e-04 8.0964228358138113e-01
1.9281270660068075e+14 1.9937416363717154e-04 8.6822128095424456e-01
1.9290213735513375e+14 2.3375736434486441e-04 9.0937610014088577e-01
1.9299156810958678e+14 2.6548861948786159e-04 9.4043375356671832e-01
1.9308099886403978e+14 2.9445137083475764e-04 9.6492702335819258e-01
1.9317042961849278e+14 3.2057479318276357e-04 9.8472832536182375e-01
1.9325986037294578e+14 3.4381681966000636e-04 1.0008872855983879e+00
1.9334929112739878e+14 3.6415703998371300e-04 1.0140031583482241e+00
1.9343872188185178e+14 3.8159369102177577e-04 1.0244062206238054e+00
1.9352815263630481e+14 3.9614259799357213e-04 1.0322520032938349e+00
1.9361758339075781e+14 4.0783720193070439e-04 1.0375721421499666e+00
1.9370701414521081e+14 4.1672931928742952e-04 1.0403019220889331e+00
1.9373235434948506e+14 4.1874874075491036e-04 1.0405860061597036e+00
1.9377110469538956e+14 4.2141702145016049e-04 1.0405860061597036e+00
1.9379644489966381e+14 4.2289051102529514e-04 1.0402943571521721e+00
1.9388587565411681e+14 4.2641406038289504e-04 1.0373259179836305e+00
1.9397530640856981e+14 4.2741763533354812e-04 1.0310967373157829e+00
1.9406473716302284e+14 4.2604676921244257e-04 1.0212270540406774e+00
1.9415416791747584e+14 4.2247933894998810e-04 1.0072512958018736e+00
1.9424359867192884e+14 4.1693125087276537e-04 9.8861138993672926e-01
1.9433302942638184e+14 4.0966354047552008e-04 9.6465166791959800e-01
1.9442246018083484e+14 4.0099101483134374e-04 9.3461925179839689e-01
1.9451189093528784e+14 3.9129233892469409e-04 8.9767629691972417e-01
1.9460132168974088e+14 3.8102096609415610e-04 8.5293398870258308e-01
1.9469075244419388e+14 3.7071536564633068e-04 7.9952220842486132e-01
1.9478018319864688e+14 3.6100544627297839e-04 7.3671117513503992e-01
1.9486961395309988e+14 3.5260996298839561e-04 6.6409713752377775e-01
1.9495904470755288e+14 3.4631771454550090e-04 5.8184519870482398e-01
1.9504847546200588e+14 3.4294531639211747e-04 4.9094198981286302e-01
1.9513790621645891e+14 3.4326905405303326e-04 3.9335772379624151e-01
1.9522733697091191e+14 3.4793929236343231e-04 2.9199032935960645e-01
