["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission",4.9958e-14)
(102, 3)
1.8737028625000000e+14 2.4488567909108994e-03 -1.2033078878372447e+00
1.8749646152693603e+14 2.4062053646941020e-03 -1.2486954050582031e+00
1.8762263680387206e+14 2.3656254898149977e-03 -1.2933602915185227e+00
1.8774881208080809e+14 2.3268072610759505e-03 -1.3371438118079955e+00
1.8787498735774409e+14 2.2894058962664469e-03 -1.3798990674063252e+00
1.8800116263468012e+14 2.2530504985170383e-03 -1.4214940703286301e+00
1.8812733791161616e+14 2.2173532156322616e-03 -1.4618139726803128e+00
1.8825351318855219e+14 2.1819184089854875e-03 -1.5007624090948573e+00
1.8837968846548822e+14 2.1463514874129441e-03 -1.5382619801780155e+00
1.8850586374242425e+14 2.1102671242607873e-03 -1.5742539621804730e+00
1.8863203901936028e+14 2.0732966487185759e-03 -1.6086973667199849e+00
1.8875821429629628e+14 2.0350944767856998e-03 -1.6415674935580349e+00
1.8888438957323231e+14 1.9953435154886619e-03 -1.6728541212286423e+00
1.8901056485016834e+14 1.9537595316835221e-03 -1.7025594684246064e+00
1.8913674012710438e+14 1.9100945215425370e-03 -1.7306960379519927e+00
1.8926291540404041e+14 1.8641391485296401e-03 -1.7572844287685951e+00
1.8938909068097644e+14 1.8157243373360273e-03 -1.7823511734965496e+00
1.8951526595791247e+14 1.7647221210639144e-03 -1.8059266308846256e+00
1.8964144123484847e+14 1.7110458410479607e-03 -1.8280429360252402e+00
1.8976761651178450e+14 1.6546497955908653e-03 -1.8487319854690378e+00
1.8989379178872053e+14 1.5955284274179898e-03 -1.8680234086468224e+00
1.9001996706565656e+14 1.5337151316316292e-03 -1.8859424487962251e+00
1.9014614234259259e+14 1.4692807576520935e-03 -1.9025076425040235e+00
1.9027231761952862e+14 1.4023318711754473e-03 -1.9177281414287650e+00
1.9039849289646466e+14 1.3330088364007359e-03 -1.9316004545709644e+00
1.9052466817340066e+14 1.2614837757203238e-03 -1.9441042909374195e+00
1.9065084345033669e+14 1.1879584648253456e-03 -1.9551970284365217e+00
1.9077701872727272e+14 1.1126622277643004e-03 -1.9648060865405486e+00
1.9090319400420875e+14 1.0358499122463170e-03 -1.9728180687129240e+00
1.9102936928114478e+14 9.5780005674242312e-04 -1.9790628378204012e+00
1.9115554455808081e+14 8.7881342008187444e-04 -1.9832894477811904e+00
1.9128171983501684e+14 7.9921215635277111e-04 -1.9851285837649693e+00
1.9140789511195284e+14 7.1934013636983985e-04 -1.9840318240542383e+00
1.9153407038888888e+14 6.3956536165470123e-04 -1.9791693309511584e+00
1.9166024566582491e+14 5.6028637453542102e-04 -1.9692490991522948e+00
1.9178642094276094e+14 4.8194677737152948e-04 -1.9521790233629392e+00
1.9191259621969697e+14 4.0506751318875316e-04 -1.9243907760571035e+00
1.9203877149663300e+14 3.3032190460096066e-04 -1.8793725756367134e+00
1.9216494677356903e+14 2.5872627709559113e-04 -1.8041701247930755e+00
1.9229112205050503e+14 1.9218829926280712e-04 -1.6702357230947853e+00
1.9241729732744106e+14 1.3529326702690933e-04 -1.4098863203450853e+00
1.9254347260437709e+14 1.0043476164167671e-04 -9.0320082778990096e-01
1.9266964788131312e+14 1.0580869670110658e-04 -2.6245278396999033e-01
1.9279582315824916e+14 1.4294065025870125e-04 1.4387140191599854e-01
1.9292199843518519e+14 1.9110160529791704e-04 3.4569630336473223e-01
1.9304817371212122e+14 2.4110553187213350e-04 4.5119565153958208e-01
1.9317434898905725e+14 2.8969263266240958e-04 5.1007438753230427e-01
1.9330052426599325e+14 3.3549184868144461e-04 5.4355163001191908e-01
1.9342669954292928e+14 3.7780656615673977e-04 5.6156349077847545e-01
1.9355287481986531e+14 4.1623207379144918e-04 5.6920429108348047e-01
1.9359660086208747e+14 4.2859191722637485e-04 5.6998390891419570e-01
1.9363532405457916e+14 4.3911577337810701e-04 5.6998390891419559e-01
1.9367905009680134e+14 4.5051720268456352e-04 5.6926189728963861e-01
1.9380522537373738e+14 4.8050845455386589e-04 5.6331578867211030e-01
1.9393140065067341e+14 5.0612613296895494e-04 5.5225576068393611e-01
1.9405757592760944e+14 5.2735456538759000e-04 5.3654459701933144e-01
1.9418375120454544e+14 5.4423938813531975e-04 5.1635809578339786e-01
1.9430992648148147e+14 5.5688895566377854e-04 4.9166226328458512e-01
1.9443610175841750e+14 5.6547863294988609e-04 4.6225673573186604e-01
1.9456227703535353e+14 5.7025748504227274e-04 4.2779995098985180e-01
1.9468845231228956e+14 5.7155719771107602e-04 3.8782567231739323e-01
1.9481462758922559e+14 5.6980310748091535e-04 3.4175835777191221e-01
1.9494080286616162e+14 5.6552698639749516e-04 2.8893499026319824e-01
